,count,mean,std,min,25%,50%,75%,max
PRN,510530.0,14.39974340391358,9.279443842481266,2.0,7.0,11.0,26.0,31.0
DO,510530.0,1293.270722726411,2362.5342074580167,-4262.754835,-868.8843935,1425.2051305,3451.20477,6715.759846
PD,510530.0,7992496.990397098,10069114.19776625,-6588428.159,2374255.7505,3777470.8655000003,6814776.77675,28307622.12
RX,510530.0,282666.23335353466,106925.23428104825,173640.0,174220.6,263290.16,263799.78,492039.42
TOW,510530.0,282666.20811114786,106925.23212239244,173640.008,174220.522,263290.14505,263799.7706,492039.341092383
CP,510530.0,-121689.32146833338,239862.71669753213,-1032331.684,-256028.1073,-97415.74532522105,63649.6576,352799.22756243
EC,510530.0,107973.45286895875,31711.904090437307,-11261.14874,86407.752045,109815.6758,130963.42967499999,244872.7344
LC,510530.0,107946.50910079168,31572.26259771726,-12557.51379,86486.36133,109799.15625,130794.4063,244650.3906
PC,510530.0,119563.1294744765,34068.95378978607,318.6741333,96580.2869225,121863.75,144362.848125,271466.125
PIP,510530.0,39.35745322213429,122138.19899721172,-270777.625,-119618.003925,-339.77853525,119631.9688,242361.0781
PQP,510530.0,65.53577490353462,24318.316229129716,-216012.8599,-11904.07664,35.455368039999996,11955.02808,226761.11
TCD,510530.0,1303.725858595881,2348.382188060592,-3214.6714,-864.9227142499999,1472.187866,3444.2716115000003,5260.34375
CN0,510530.0,44.717166538376844,2.9094044767047835,0.0,43.203263855,45.34600639,46.691952705,50.4828336509839
Output,510530.0,0.4328188353279925,0.8916406482129787,0.0,0.0,0.0,0.0,3.0
